Date,3m-tbill,3m-commercial,10y-note,federal fund rate,m2,policy rate
"Jan, 2005",2.33,2.56,4.22,2.28,6387.3,2.5
"Feb, 2005",2.54,2.71,4.17,2.5,6399.7,2.52
"Mar, 2005",2.74,2.91,4.5,2.63,6409.1,2.96
"Apr, 2005",2.78,3.02,4.34,2.79,6414.3,2.97
"May, 2005",2.84,3.15,4.14,3,6439.4,3.09
"Jun, 2005",2.97,3.3,4,3.04,6475,3.35
"Jul, 2005",3.22,3.49,4.18,3.26,6499,3.31
"Aug, 2005",3.44,3.69,4.26,3.5,6531.9,3.63
"Sep, 2005",3.42,3.79,4.2,3.62,6566.3,3.93
"Oct, 2005",3.71,4.05,4.46,3.78,6601.4,4.02
"Nov, 2005",3.88,4.23,4.54,4,6622,4.03
"Dec, 2005",3.89,4.37,4.47,4.16,6647.5,4.09
"Jan, 2006",4.24,4.48,4.42,4.29,6686.7,4.47
"Feb, 2006",4.43,4.63,4.57,4.49,6716,4.52
"Mar, 2006",4.51,4.79,4.72,4.59,6734.2,5
"Apr, 2006",4.6,4.94,4.99,4.79,6755.5,4.86
"May, 2006",4.72,5.05,5.11,4.94,6775.1,5.05
"Jun, 2006",4.79,5.25,5.11,4.99,6811.3,5.05
"Jul, 2006",4.95,5.37,5.09,5.24,6852.3,5.31
"Aug, 2006",4.96,5.29,4.88,5.25,6875.3,5.31
"Sep, 2006",4.81,5.25,4.72,5.25,6903.9,5.34
"Oct, 2006",4.92,5.24,4.73,5.25,6952.6,5.31
"Nov, 2006",4.94,5.24,4.6,5.25,6994.3,5.31
"Dec, 2006",4.85,5.24,4.56,5.24,7035.3,5.17
"Jan, 2007",4.98,5.24,4.76,5.25,7073.9,5.33
"Feb, 2007",5.03,5.23,4.72,5.26,7094.3,5.41
"Mar, 2007",4.94,5.22,4.56,5.26,7124,5.3
"Apr, 2007",4.87,5.23,4.69,5.25,7188.3,5.29
"May, 2007",4.73,5.23,4.75,5.25,7214.1,5.28
"Jun, 2007",4.61,5.25,5.1,5.25,7242.8,5.31
"Jul, 2007",4.82,5.25,5,5.26,7275.6,5.28
"Aug, 2007",4.2,5.3,4.67,5.02,7337.9,4.96
"Sep, 2007",3.89,5.19,4.52,4.94,7367,4.58
"Oct, 2007",3.9,4.91,4.53,4.76,7381.1,4.6
"Nov, 2007",3.27,4.75,4.15,4.49,7411.1,4.66
"Dec, 2007",3,4.76,4.1,4.24,7447,3.06
"Jan, 2008",2.75,3.7,3.74,3.94,7470.4,3.22
"Feb, 2008",2.12,3.03,3.74,2.98,7557.9,3.01
"Mar, 2008",1.26,2.7,3.51,2.61,7631.6,2.51
"Apr, 2008",1.29,2.72,3.68,2.28,7661.7,2.37
"May, 2008",1.73,2.61,3.88,1.98,7679.5,1.98
"Jun, 2008",1.86,2.7,4.1,2,7700.9,2.47
"Jul, 2008",1.63,2.72,4.01,2.01,7745.3,2.09
"Aug, 2008",1.72,2.76,3.89,2,7750.1,1.94
"Sep, 2008",1.13,2.91,3.69,1.81,7811.9,2.03
"Oct, 2008",0.67,3.19,3.81,0.97,7932.9,0.22
"Nov, 2008",0.19,1.54,3.53,0.39,7970.5,0.52
"Dec, 2008",0.03,1.09,2.42,0.16,8152,0.14
"Jan, 2009",0.13,1.1,2.52,0.15,8243.9,0.23
"Feb, 2009",0.3,0.67,2.87,0.22,8274.8,0.22
"Mar, 2009",0.21,0.62,2.82,0.18,8345.7,0.16
"Apr, 2009",0.16,0.48,2.93,0.15,8329.9,0.2
"May, 2009",0.18,0.37,3.29,0.18,8398.9,0.19
"Jun, 2009",0.18,0.36,3.72,0.21,8414.5,0.22
"Jul, 2009",0.18,0.33,3.56,0.16,8418.8,0.18
"Aug, 2009",0.17,0.29,3.59,0.16,8405.7,0.15
"Sep, 2009",0.12,0.23,3.4,0.15,8413.6,0.07
"Oct, 2009",0.07,0.22,3.39,0.12,8437.2,0.11
"Nov, 2009",0.05,0.19,3.4,0.12,8477.6,0.13
"Dec, 2009",0.05,0.2,3.59,0.12,8485.6,0.05
"Jan, 2010",0.06,0.18,3.73,0.11,8429.1,0.12
"Feb, 2010",0.11,0.2,3.69,0.13,8480.6,0.13
"Mar, 2010",0.15,0.24,3.73,0.16,8486.5,0.09
"Apr, 2010",0.16,0.3,3.85,0.2,8492.1,0.2
"May, 2010",0.16,0.44,3.42,0.2,8559.9,0.19
"Jun, 2010",0.12,0.46,3.2,0.18,8582.3,0.09
"Jul, 2010",0.16,0.37,3.01,0.18,8585.5,0.18
"Aug, 2010",0.16,0.27,2.7,0.19,8628.2,0.21
"Sep, 2010",0.15,0.25,2.65,0.19,8666,0.15
"Oct, 2010",0.13,0.25,2.54,0.19,8713.4,0.2
"Nov, 2010",0.14,0.25,2.76,0.19,8743.6,0.2
"Dec, 2010",0.14,0.27,3.29,0.18,8781.8,0.13
"Jan, 2011",0.15,0.26,3.39,0.17,8809.2,0.17
"Feb, 2011",0.13,0.25,3.58,0.16,8861.4,0.16
"Mar, 2011",0.1,0.23,3.42,0.14,8904,0.1
"Apr, 2011",0.06,0.22,3.46,0.1,8944.6,0.09
"May, 2011",0.04,0.18,3.17,0.09,9012.4,0.1
"Jun, 2011",0.04,0.17,3,0.09,9082.7,0.07
"Jul, 2011",0.04,0.17,3,0.07,9248.7,0.11
