"","V1"
"1",-1.35668345058342
"2",-2.12907499625402
"3",-1.54903526460249
"4",-0.24596344203978
"5",-0.592148127666156
"6",-2.2556192723018
"7",-1.83545656646677
"8",-1.0244177198588
"9",-3.44563166631087
"10",-0.493011795198576
"11",-0.966013446179759
"12",-0.415618937089896
"13",-0.397656930400518
