"","x"
"1",-0.123810676227635
"2",-0.0572426285533735
"3",0.195415841485751
"4",0.279055570970568
"5",0.261847161176665
"6",-0.161268919246221
"7",-0.170173039415548
"8",0.475912620960396
"9",2.08649401434541
"10",0.215041426814689
"11",-0.153650158183708
"12",-1.3143925086306
"13",-1.496003579002
"14",-0.905868385205896
"15",-0.576802460842661
"16",0.264491665026924
"17",0.225351332499433
"18",0.899255815503242
"19",-0.100271629928708
"20",-0.102508225290303
"21",-0.084974085949619
"22",-0.260536619986847
"23",0.134872134442508
"24",0.0558872937453937
"25",-1.64940101082211
"26",-0.210447949918636
"27",-2.38987736580642
"28",-0.537453791438466
"29",1.13605630142451
"30",0.360380569004701
"31",-1.46671688690173
"32",1.19203006539908
"33",0.422359087216282
"34",0.54847819843317
"35",0.500274915030581
"36",0.161346044940609
"37",0.576061133697608
"38",0.788995989634108
"39",-0.689469787612597
"40",-0.352288996835763
"41",-0.171910949510236
"42",-0.821240334904593
"43",-2.41254075285627
"44",-0.258383072444116
"45",-0.309005181661689
"46",0.0842263810659418
"47",0.112599877294715
"48",-1.56779627964135
"49",0.490935967619247
"50",-0.344891812025567
"51",-0.760319186543215
"52",-0.0834148481218107
"53",-0.0504604202526911
"54",0.0467666991775747
"55",0.147974344133477
"56",-0.0150665766716103
"57",0.176021994100115
"58",-0.0901434106198963
"59",0.435289486227134
"60",0.822530602985628
"61",-0.46143533018741
"62",-0.472722770945813
"63",-0.157963169479242
"64",0.118138291117977
"65",0.346997203621917
"66",0.857788257706977
"67",0.187220438132881
"68",-1.25253546373647
"69",0.761780110583719
"70",-0.705877301128267
"71",-1.2826316840353
"72",0.815905238257289
"73",-0.188253237642073
"74",-0.450001353340155
"75",-0.578838527748158
"76",-0.210005548375088
"77",0.12461255804191
"78",0.301855741835474
"79",-0.34211409049593
"80",-1.83807968231706
"81",0.00418160290350198
"82",-0.397145301107002
"83",0.354464870232489
"84",0.770246156055824
"85",0.111640248162617
"86",0.570457446468345
"87",0.201166520365416
"88",0.473974498124128
"89",0.644985339259487
"90",0.733376530850811
"91",0.390794287764453
"92",-0.319596085266191
"93",-0.211445733430449
"94",0.0941526115560437
"95",-0.000238799607146709
"96",-0.362411407322646
"97",-0.265746583468564
"98",0.118082479018468
"99",-0.365393675064593
"100",0.488124371418427
"101",0.927673377843571
"102",1.5458781715099
"103",0.444730339763559
"104",0.556662174776895
"105",-0.626175097769552
"106",-0.328350568554176
"107",0.856746910489088
"108",0.527123775942338
"109",-0.197018463260935
"110",0.289434226695034
"111",-0.0868109080120357
"112",0.509186542376404
"113",1.39961577765674
"114",0.725089527587698
"115",-1.03902013366423
"116",-0.55282816493065
"117",-2.36141419384692
"118",-0.597607789391509
"119",-1.97630320229386
"120",-1.16211213352692
"121",-0.21464803167606
"122",-0.195213443819932
"123",-2.32429336611004
"124",-0.14843385851274
"125",-1.80634579581629
"126",-1.24085007974951
"127",-0.51872646171808
"128",-0.0481443776430689
"129",0.130896089201295
"130",-0.449096338101514
"131",0.253614783097093
"132",-0.915080213079843
"133",-3.16087920344573
"134",-0.336117872224014
"135",-1.23009307309278
"136",-0.0830102509256682
"137",0.408622054250664
"138",0.13911264668875
"139",0.709497993770322
"140",-0.030101761012067
"141",0.110161970780366
"142",0.219184338970983
"143",0.177419355411616
"144",0.137510866628922
"145",0.0116298420202253
"146",-0.160113602582273
"147",-0.0944092486327867
"148",0.702536024501632
"149",-0.286687336412541
"150",-0.115201440545641
"151",-0.591410961198107
"152",-1.67323016419912
"153",-0.217478429955703
"154",0.951433175715174
"155",0.893486869719647
"156",0.583080107767416
"157",0.409989125540241
"158",0.451174014430881
"159",-0.178768284064526
"160",0.0338507688675599
"161",-0.676294498920594
"162",-0.48223902554704
"163",-0.665905694242512
"164",-1.49754151102092
"165",-0.762305435857401
"166",-2.63381256166376
"167",-1.25932562787356
"168",0.567011326382347
"169",0.283129181499849
"170",0.45223200972786
"171",0.635246490105707
"172",-0.0578845594150763
"173",0.822509086292227
"174",0.557237909502854
"175",0.596531687368491
"176",1.3449961545426
"177",0.92629663484485
"178",0.188858611804476
"179",0.42921381470783
"180",0.305758974398139
"181",0.248838062061966
"182",0.150736354339606
"183",-1.15484057770556
"184",-0.0540694614036218
"185",0.68793181829395
"186",-0.229123066373936
"187",0.075829090996449
"188",-0.137657796574715
"189",-1.09440826708083
"190",-1.30636324274993
"191",-0.679388089795388
"192",-0.674639767687387
"193",-0.930953927843179
"194",0.670950764778564
"195",-0.269609961605102
"196",-0.195371974703074
"197",-0.436805082096276
"198",0.28417487986428
"199",-0.0404471412082853
"200",0.662923312664562
"201",0.519198371979313
"202",-0.227209131762435
"203",0.690421304796784
"204",0.171542080812158
"205",0.82409828964465
"206",0.649998613838267
"207",-0.380432169994744
"208",0.473296928591361
"209",-1.33362500425101
"210",0.628949858590882
"211",0.524332258787346
"212",0.00668372858418085
"213",-0.916794189300011
"214",-1.03062351701479
"215",-0.936510635965791
"216",-1.2618954644529
"217",0.117566705025606
