AbbVie Inc. (ABBV) ,ABBV, $89.55B , 10/31/2014 , Sep 2014 , $0.78 , 4 , $0.89 ,14.1%
Agenus Inc. (AGEN) ,AGEN, $390.34M , 10/31/2014 , Sep 2014 , $-0.16 , 1 , $-0.13 ,-18.75%
Aluminum Corporation of China Limited (ACH) ,ACH, $4.85B , 10/31/2014 , Sep 2014 , $n/a , 0 , $-0.41 ,n/a
Ambev S.A. (ABEV) ,ABEV, $76.45B , 10/31/2014 , Sep 2014 , $n/a , 0 , $0.07 ,n/a
American Axle & Manufacturing Holdings Inc. (AXL) ,AXL, $1.62B , 10/31/2014 , Sep 2014 , $0.63 , 7 , $0.63 ,0%
Ampco-Pittsburgh Corporation (AP) ,AP, $122.36M , 10/31/2014 , Sep 2014 , $n/a , 0 , $-0.03 ,n/a
Anheuser-Busch Inbev SA (BUD) ,BUD, $189.35B , 10/31/2014 , Sep 2014 , $1.5 , 2 , $1.42 ,-5.33%
Aon plc (AON) ,AON, $26.56B , 10/31/2014 , Sep 2014 , $1.12 , 11 , $1.29 ,15.18%
Armada Hoffler Properties Inc. (AHH) ,AHH, $284.37M , 10/31/2014 , Sep 2014 , $0.2 , 4 , $0.22 ,10%
ASB Bancorp Inc. (ASBB) ,ASBB, $113.52M , 10/31/2014 , Sep 2014 , $n/a , 0 , $0.12 ,n/a
Athens Bancshares Corporation (AFCB) ,AFCB, $54.08M , 10/31/2014 , Sep 2014 , $n/a , 0 , $0.43 ,n/a
ATRION Corporation (ATRI) ,ATRI, $677.77M , 10/31/2014 , Sep 2014 , $n/a , 0 , $3.91 ,n/a
Bank of Commerce Holdings (CA) (BOCH) ,BOCH, $84.44M , 10/31/2014 , Sep 2014 , $0.16 , 1 , $0.09 ,-43.75%
BBX Capital Corporation (BBX) ,BBX, $283.83M , 10/31/2014 , Sep 2014 , $n/a , 0 , $0.25 ,n/a
Buenaventura Mining Company Inc. (BVN) ,BVN, $1.78B , 10/31/2014 , Sep 2014 , $0.16 , 1 , $0.31 ,93.75%
CBOE Holdings Inc. (CBOE) ,CBOE, $5.73B , 10/31/2014 , Sep 2014 , $0.55 , 10 , $0.57 ,3.64%
Chevron Corporation (CVX) ,CVX, $169.15B , 10/31/2014 , Sep 2014 , $2.54 , 11 , $2.95 ,16.14%
China Southern Airlines Company Limited (ZNH) ,ZNH, $8.17B , 10/31/2014 , Sep 2014 , $n/a , 0 , $1.87 ,n/a
CIRCOR International Inc. (CIR) ,CIR, $744.07M , 10/31/2014 , Sep 2014 , $0.9 , 2 , $0.95 ,5.56%
Clorox Company (The) (CLX) ,CLX, $15.79B , 10/31/2014 , Sep 2014 , $1.03 , 7 , $1.1 ,6.8%
CommScope Holding Company Inc. (COMM) ,COMM, $6.17B , 10/31/2014 , Sep 2014 , $0.57 , 3 , $0.61 ,7.02%
CommunityOne Bancorp (COB) ,COB, $327.21M , 10/31/2014 , Sep 2014 , $0.15 , 1 , $0.17 ,13.33%
Companhia Brasileira de Distribuicao (CBD) ,CBD, $3.46B , 10/31/2014 , Sep 2014 , $0.43 , 1 , $0.66 ,53.49%
Cooper-Standard Holdings Inc. (CPS) ,CPS, $1.12B , 10/31/2014 , Sep 2014 , $n/a , 0 , $0.4 ,n/a
Costamare Inc. (CMRE) ,CMRE, $1.06B , 10/31/2014 , Sep 2014 , $0.38 , 5 , $0.38 ,0%
Dominion Resources Inc. (D) ,D, $42.13B , 10/31/2014 , Sep 2014 , $0.96 , 8 , $0.93 ,-3.12%
Drew Industries Incorporated (DW) ,DW, $1.45B , 10/31/2014 , Sep 2014 , $n/a , 0 , $0.64 ,n/a
Dril-Quip Inc. (DRQ) ,DRQ, $2.37B , 10/31/2014 , Sep 2014 , $1.3 , 8 , $1.4 ,7.69%
Ecopetrol S.A. (EC) ,EC, $344.15M , 10/31/2014 , Sep 2014 , $0.71 , 3 , $0.54 ,-23.94%
Exxon Mobil Corporation (XOM) ,XOM, $342.85B , 10/31/2014 , Sep 2014 , $1.75 , 11 , $1.89 ,8%
First Keystone Corp (FKYS) ,FKYS, n/a , 10/31/2014 , Sep 2014 , $n/a , 0 , $0.43 ,n/a
Flamel Technologies S.A. (FLML) ,FLML, $644.27M , 10/31/2014 , Sep 2014 , $-0.15 , 3 , $-0.16 ,6.67%
Furmanite Corporation (FRM) ,FRM, $257.96M , 10/31/2014 , Sep 2014 , $0.14 , 1 , $0.05 ,-64.29%
GAIN Capital Holdings Inc. (GCAP) ,GCAP, $375.88M , 10/31/2014 , Sep 2014 , $-0.04 , 3 , $0.33 ,-925%
Genesee & Wyoming Inc. (GWR) ,GWR, $3.44B , 10/31/2014 , Sep 2014 , $1.17 , 8 , $1.21 ,3.42%
GlycoMimetics Inc. (GLYC) ,GLYC, $127.43M , 10/31/2014 , Sep 2014 , $0.21 , 2 , $-0.35 ,-266.67%
Graham Holdings Company (GHC) ,GHC, $3.3B , 10/31/2014 , Sep 2014 , $n/a , 0 , $8.69 ,n/a
Grana y Montero S.A.A. (GRAM) ,GRAM, $535.96M , 10/31/2014 , Sep 2014 , $0.1 , 1 , $0.26 ,160%
Grifols S.A. (GRFS) ,GRFS, $11.82B , 10/31/2014 , Sep 2014 , $0.51 , 1 , $0.44 ,-13.73%
Heartland Payment Systems Inc. (HPY) ,HPY, $2.52B , 10/31/2014 , Sep 2014 , $0.6 , 6 , $0.62 ,3.33%
Hilton Worldwide Holdings Inc. (HLT) ,HLT, $24.83B , 10/31/2014 , Sep 2014 , $0.17 , 11 , $0.18 ,5.88%
Imperial Oil Limited (IMO) ,IMO, $28.4B , 10/31/2014 , Sep 2014 , $1.07 , 2 , $0.98 ,-8.41%
Independence Realty Trust Inc. (IRT) ,IRT, $244.49M , 10/31/2014 , Sep 2014 , $0.15 , 2 , $0.17 ,13.33%
Institutional Financial Markets Inc. (IFMI) ,IFMI, $22.46M , 10/31/2014 , Sep 2014 , $n/a , 0 , $0 ,n/a
Intermolecular Inc. (IMI) ,IMI, $98.5M , 10/31/2014 , Sep 2014 , $-0.12 , 1 , $-0.11 ,-8.33%
ITT Corporation (ITT) ,ITT, $3.47B , 10/31/2014 , Sep 2014 , $0.6 , 7 , $0.66 ,10%
IXYS Corporation (IXYS) ,IXYS, $402.42M , 10/31/2014 , Sep 2014 , $n/a , 0 , $0.22 ,n/a
Legg Mason Inc. (LM) ,LM, $4.95B , 10/31/2014 , Sep 2014 , $0.33 , 3 , $0.35 ,6.06%
Magellan Midstream Partners L.P. (MMP) ,MMP, $14.37B , 10/31/2014 , Sep 2014 , $0.66 , 9 , $0.71 ,7.58%
Mast Therapeutics Inc. (MSTX) ,MSTX, $78.47M , 10/31/2014 , Sep 2014 , $n/a , 0 , $-0.06 ,n/a
Moneygram International Inc. (MGI) ,MGI, $538.86M , 10/31/2014 , Sep 2014 , $0.3 , 2 , $0.17 ,-43.33%
Monotype Imaging Holdings Inc. (TYPE) ,TYPE, $914.33M , 10/31/2014 , Sep 2014 , $0.23 , 2 , $0.21 ,-8.7%
Moog Inc. (MOG.A) ,MOG.A, $2.1B , 10/31/2014 , Sep 2014 , $1.06 , 2 , $1.12 ,5.66%
Moog Inc. (MOG.B) ,MOG.B, $213.03M , 10/31/2014 , Sep 2014 , $n/a , 0 , $1.12 ,n/a
MSG Networks Inc. (MSGN) ,MSGN, $1.57B , 10/31/2014 , Sep 2014 , $0.32 , 6 , $0.24 ,-25%
Newell Rubbermaid Inc. (NWL) ,NWL, $11.59B , 10/31/2014 , Sep 2014 , $0.55 , 11 , $0.58 ,5.45%
NextEra Energy Inc. (NEE) ,NEE, $46.02B , 10/31/2014 , Sep 2014 , $1.54 , 10 , $1.55 ,0.65%
