NTELOS Holdings Corp. (NTLS) ,NTLS, $203.67M , 10/31/2014 , Sep 2014 , $0.03 , 6 , $0.04 ,33.33%
NTT DOCOMO Inc (DCM) ,DCM, $74.14B , 10/31/2014 , Sep 2014 , $n/a , 0 , $0.27 ,n/a
Nustar Energy L.P. (NS) ,NS, $3.88B , 10/31/2014 , Sep 2014 , $0.6 , 9 , $0.61 ,1.67%
Nustar GP Holdings LLC (NSH) ,NSH, $1.24B , 10/31/2014 , Sep 2014 , $0.4 , 3 , $0.41 ,2.5%
Oneida Financial Corp. (ONFC) ,ONFC, $152.95M , 10/31/2014 , Sep 2014 , $n/a , 0 , $0.21 ,n/a
Oppenheimer Holdings Inc. (OPY) ,OPY, $260.24M , 10/31/2014 , Sep 2014 , $n/a , 0 , $0.31 ,n/a
Oshkosh Corporation (OSK) ,OSK, $3.03B , 10/31/2014 , Sep 2014 , $0.83 , 7 , $0.96 ,15.66%
Pattern Energy Group Inc. (PEGI) ,PEGI, $1.74B , 10/31/2014 , Sep 2014 , $0.1 , 5 , $-0.15 ,-250%
Pendrell Corporation (PCO) ,PCO, $180.85M , 10/31/2014 , Sep 2014 , $n/a , 0 , $-0.05 ,n/a
PEPCO Holdings Inc. (POM) ,POM, $6.75B , 10/31/2014 , Sep 2014 , $0.42 , 3 , $0.46 ,9.52%
Pinnacle West Capital Corporation (PNW) ,PNW, $7B , 10/31/2014 , Sep 2014 , $2.17 , 6 , $2.2 ,1.38%
PNM Resources Inc. (Holding Co.) (PNM) ,PNM, $2.2B , 10/31/2014 , Sep 2014 , $0.66 , 4 , $0.68 ,3.03%
Polonia Bancorp Inc. (PBCP) ,PBCP, $43.66M , 10/31/2014 , Sep 2014 , $n/a , 0 , $0.03 ,n/a
Rockwell Collins Inc. (COL) ,COL, $11.72B , 10/31/2014 , Sep 2014 , $1.26 , 11 , $1.3 ,3.17%
Royal Bank Scotland plc (The) (RBS) ,RBS, $55.97B , 10/31/2014 , Sep 2014 , $0.32 , 1 , $0.24 ,-25%
Salisbury Bancorp Inc. (SAL) ,SAL, $79.2M , 10/31/2014 , Sep 2014 , $n/a , 0 , $0.43 ,n/a
Seaboard Corporation (SEB) ,SEB, $3.82B , 10/31/2014 , Sep 2014 , $n/a , 0 , $55.93 ,n/a
Semler Scientific Inc. (SMLR) ,SMLR, $17.28M , 10/31/2014 , Sep 2014 , $n/a , 0 , $-0.31 ,n/a
Shenandoah Telecommunications Co (SHEN) ,SHEN, $1.12B , 10/31/2014 , Sep 2014 , $0.32 , 3 , $0.33 ,3.13%
Sony Corp Ord (SNE) ,SNE, $35.3B , 10/31/2014 , Sep 2014 , $n/a , 0 , $-1.14 ,n/a
Southern Copper Corporation (SCCO) ,SCCO, $22.02B , 10/31/2014 , Sep 2014 , $0.45 , 6 , $0.39 ,-13.33%
Spirit Aerosystems Holdings Inc. (SPR) ,SPR, $7.5B , 10/31/2014 , Sep 2014 , $0.75 , 11 , $0.9 ,20%
Standex International Corporation (SXI) ,SXI, $1.12B , 10/31/2014 , Sep 2014 , $n/a , 0 , $1.25 ,n/a
Tanzanian Royalty Exploration Corporation (TRX) ,TRX, $37.44M , 10/31/2014 , Aug 2014 , $n/a , 0 , $-0.02 ,n/a
TECO Energy Inc. (TE) ,TE, $6.38B , 10/31/2014 , Sep 2014 , $0.33 , 5 , $0.32 ,-3.03%
Telephone and Data Systems Inc. (TDS) ,TDS, $2.96B , 10/31/2014 , Sep 2014 , $-0.07 , 4 , $-0.02 ,-71.43%
The First Bancshares Inc. (FBMS) ,FBMS, $85.82M , 10/31/2014 , Sep 2014 , $0.23 , 2 , $0.3 ,30.43%
United States Cellular Corporation (USM) ,USM, $3.21B , 10/31/2014 , Sep 2014 , $-0.27 , 5 , $-0.26 ,-3.7%
Viad Corp (VVI) ,VVI, $647.56M , 10/31/2014 , Sep 2014 , $1.01 , 1 , $1.04 ,2.97%
Village Bank and Trust Financial Corp. (VBFC) ,VBFC, $27.06M , 10/31/2014 , Sep 2014 , $n/a , 0 , $-1.23 ,n/a
Weis Markets Inc. (WMK) ,WMK, $1.1B , 10/31/2014 , Sep 2014 , $n/a , 0 , $0.51 ,n/a
Weyerhaeuser Company (WY) ,WY, $15B , 10/31/2014 , Sep 2014 , $0.3 , 7 , $0.33 ,10%
WisdomTree Investments Inc. (WETF) ,WETF, $2.63B , 10/31/2014 , Sep 2014 , $0.09 , 6 , $0.09 ,0%
