3D Systems Corporation (DDD) ,DDD,1190000000, 11/04/2015 , Sep 2015 , $0.01 , 5 , $0.13 ,1200%
Abraxas Petroleum Corporation (AXAS) ,AXAS,173080000, 11/04/2015 , Sep 2015 , $-0.02 , 6 , $0.15 ,-850%
Acceleron Pharma Inc. (XLRN) ,XLRN,1090000000, 11/04/2015 , Sep 2015 , $-0.41 , 4 , $-0.25 ,-39.02%
Acura Pharmaceuticals Inc. (ACUR) ,ACUR,6230000, 11/04/2015 , Sep 2015 , $0 , 1 , $-0.3 ,-∞%
Acxiom Corporation (ACXM) ,ACXM,1750000000, 11/04/2015 , Sep 2015 , $0.06 , 1 , $0.18 ,200%
Aerohive Networks Inc. (HIVE) ,HIVE,328610000, 11/04/2015 , Sep 2015 , $-0.23 , 1 , $-0.16 ,-30.43%
AG Mortgage Investment Trust Inc. (MITT) ,MITT,435820000, 11/04/2015 , Sep 2015 , $0.62 , 5 , $0.63 ,1.61%
Alamo Group Inc. (ALG) ,ALG,553870000, 11/04/2015 , Sep 2015 , $1.35 , 2 , $1.16 ,-14.07%
Albemarle Corporation (ALB) ,ALB,6090000000, 11/04/2015 , Sep 2015 , $0.9 , 12 , $1.14 ,26.67%
Alere Inc. (ALR) ,ALR,4090000000, 11/04/2015 , Sep 2015 , $0.55 , 1 , $0.44 ,-20%
Allergan plc. (AGN) ,AGN,123960000000, 11/04/2015 , Sep 2015 , $3.25 , 3 , $3.19 ,-1.85%
Amarin Corporation PLC (AMRN) ,AMRN,272850000, 11/04/2015 , Sep 2015 , $-0.12 , 1 , $-0.18 ,50%
Amerco (UHAL) ,UHAL,8010000000, 11/04/2015 , Sep 2015 , $9.8 , 1 , $7.98 ,-18.57%
American Capital Ltd. (ACAS) ,ACAS,3480000000, 11/04/2015 , Sep 2015 , $0.27 , 3 , $0.18 ,-33.33%
American Equity Investment Life Holding Company (AEL) ,AEL,2049999000, 11/04/2015 , Sep 2015 , $0.6 , 3 , $0.81 ,35%
American Residential Properties Inc. (ARPI) ,ARPI,536440000, 11/04/2015 , Sep 2015 , $0.2 , 4 , $0.12 ,-40%
American Water Works (AWK) ,AWK,10330000000, 11/04/2015 , Sep 2015 , $0.93 , 7 , $0.92 ,-1.08%
Annaly Capital Management Inc (NLY) ,NLY,9520000000, 11/04/2015 , Sep 2015 , $0.31 , 8 , $0.31 ,0%
