Approach Resources Inc. (AREX) ,AREX,111930000, 11/04/2015 , Sep 2015 , $-0.14 , 6 , $0.27 ,-292.86%
ARC Document Solutions Inc. (ARC) ,ARC,309640000, 11/04/2015 , Sep 2015 , $0.11 , 2 , $0.06 ,-45.45%
Arc Logistic Partners LP (ARCX) ,ARCX,323740000, 11/04/2015 , Sep 2015 , $0.27 , 4 , $0.11 ,-59.26%
Arcos Dorados Holdings Inc. (ARCO) ,ARCO,663190000, 11/04/2015 , Sep 2015 , $0.04 , 1 , $0 ,-100%
Ares Capital Corporation (ARCC) ,ARCC,4840000000, 11/04/2015 , Sep 2015 , $0.38 , 11 , $0.4 ,5.26%
ArQule Inc. (ARQL) ,ARQL,146510000, 11/04/2015 , Sep 2015 , $n/a , 0 , $-0.1 ,n/a
Array BioPharma Inc. (ARRY) ,ARRY,753520000, 11/04/2015 , Sep 2015 , $-0.18 , 5 , $-0.21 ,16.67%
Ashford Hospitality Prime Inc. (AHP) ,AHP,434190000, 11/04/2015 , Sep 2015 , $0.5 , 4 , $0.42 ,-16%
Ashford Hospitality Trust Inc (AHT) ,AHT,662620000, 11/04/2015 , Sep 2015 , $0.35 , 6 , $0.25 ,-28.57%
Atmos Energy Corporation (ATO) ,ATO,6390000000, 11/04/2015 , Sep 2015 , $0.26 , 4 , $0.24 ,-7.69%
Attunity Ltd. (ATTU) ,ATTU,207530000, 11/04/2015 , Sep 2015 , $0.03 , 1 , $0.04 ,33.33%
AVG Technologies N.V. (AVG) ,AVG,1250000000, 11/04/2015 , Sep 2015 , $0.43 , 1 , $0.49 ,13.95%
Avista Corporation (AVA) ,AVA,2100000000, 11/04/2015 , Sep 2015 , $0.19 , 1 , $0.16 ,-15.79%
Avon Products Inc. (AVP) ,AVP,1810000000, 11/04/2015 , Sep 2015 , $0.07 , 8 , $0.23 ,228.57%
Axcelis Technologies Inc. (ACLS) ,ACLS,335980000, 11/04/2015 , Sep 2015 , $0.04 , 3 , $-0.03 ,-175%
Becton Dickinson and Company (BDX) ,BDX,30450000000, 11/04/2015 , Sep 2015 , $1.9 , 11 , $1.68 ,-11.58%
Belmond Ltd. (BEL) ,BEL,1310000000, 11/04/2015 , Sep 2015 , $0.14 , 2 , $0.16 ,14.29%
Benefitfocus Inc. (BNFT) ,BNFT,1040000000, 11/04/2015 , Sep 2015 , $-0.64 , 5 , $-0.68 ,6.25%
BioAmber Inc. (BIOA) ,BIOA,202720000, 11/04/2015 , Sep 2015 , $n/a , 0 , $-0.41 ,n/a
BioScrip Inc. (BIOS) ,BIOS,143650000, 11/04/2015 , Sep 2015 , $-0.1 , 3 , $-0.45 ,350%
BlackRock Capital Investment Corporation (BKCC) ,BKCC,704910000, 11/04/2015 , Sep 2015 , $0.24 , 5 , $0.23 ,-4.17%
Blueknight Energy Partners L.P. L.L.C. (BKEP) ,BKEP,196030000, 11/04/2015 , Sep 2015 , $0.14 , 3 , $0.2 ,42.86%
Bojangles' Inc. (BOJA) ,BOJA,624470000, 11/04/2015 , Sep 2015 , $0.18 , 8 , $n/a ,n/a
Bovie Medical Corporation (BVX) ,BVX,54120000, 11/04/2015 , Sep 2015 , $-0.06 , 1 , $-0.04 ,-33.33%
BroadSoft Inc. (BSFT) ,BSFT,967190000, 11/04/2015 , Sep 2015 , $-0.1 , 4 , $0.06 ,-160%
Brookdale Senior Living Inc. (BKD) ,BKD,4000000000, 11/04/2015 , Sep 2015 , $0.58 , 4 , $-0.06 ,-110.34%
Brookfield Infrastructure Partners LP (BIP) ,BIP,6820000000, 11/04/2015 , Sep 2015 , $0.9 , 3 , $0.29 ,-67.78%
Bruker Corporation (BRKR) ,BRKR,3150000000, 11/04/2015 , Sep 2015 , $0.13 , 10 , $0.14 ,7.69%
BWX Technologies Inc. (BWXT) ,BWXT,3040000000, 11/04/2015 , Sep 2015 , $0.33 , 1 , $0.53 ,60.61%
C&J Energy Services Ltd. (CJES) ,CJES,633280000, 11/04/2015 , Sep 2015 , $-0.62 , 10 , $0.47 ,-175.81%
Cable One Inc. (CABO) ,CABO,2600000000, 11/04/2015 , Sep 2015 , $4.34 , 2 , $n/a ,n/a
CaesarStone Sdot-Yam Ltd. (CSTE) ,CSTE,1290000000, 11/04/2015 , Sep 2015 , $0.68 , 4 , $0.75 ,10.29%
CalAtlantic Group Inc. (CAA) ,CAA,2110000000, 11/04/2015 , Sep 2015 , $0.86 , 5 , $0.7 ,-18.6%
Callon Petroleum Company (CPE) ,CPE,589220000, 11/04/2015 , Sep 2015 , $0.03 , 10 , $0.06 ,100%
Calumet Specialty Products Partners L.P. (CLMT) ,CLMT,2029999000, 11/04/2015 , Sep 2015 , $0.41 , 6 , $0.32 ,-21.95%
Cardiovascular Systems Inc. (CSII) ,CSII,458300000, 11/04/2015 , Sep 2015 , $-0.42 , 5 , $-0.26 ,-38.1%
Career Education Corporation (CECO) ,CECO,260920000, 11/04/2015 , Sep 2015 , $-0.25 , 2 , $-0.68 ,172%
Carrizo Oil & Gas Inc. (CRZO) ,CRZO,1960000000, 11/04/2015 , Sep 2015 , $0.14 , 14 , $0.71 ,407.14%
Castlight Health inc. (CSLT) ,CSLT,480070000, 11/04/2015 , Sep 2015 , $-0.21 , 3 , $-0.23 ,9.52%
CDW Corporation (CDW) ,CDW,7670000000, 11/04/2015 , Sep 2015 , $0.76 , 4 , $0.63 ,-17.11%
CenturyLink Inc. (CTL) ,CTL,15990000000, 11/04/2015 , Sep 2015 , $0.69 , 9 , $0.63 ,-8.7%
CF Industries Holdings Inc. (CF) ,CF,12200000000, 11/04/2015 , Sep 2015 , $0.76 , 8 , $0.52 ,-31.58%
Charles River Laboratories International Inc. (CRL) ,CRL,3230000000, 11/04/2015 , Sep 2015 , $0.94 , 13 , $0.86 ,-8.51%
Chesapeake Energy Corporation (CHK) ,CHK,4960000000, 11/04/2015 , Sep 2015 , $-0.13 , 11 , $0.38 ,-392.31%
Cincinnati Bell Inc (CBB) ,CBB,803770000, 11/04/2015 , Sep 2015 , $0.03 , 3 , $-0.03 ,-200%
Cipher Pharmaceuticals Inc. (CPHR) ,CPHR,110150000, 11/04/2015 , Sep 2015 , $0.07 , 1 , $n/a ,n/a
Clean Harbors Inc. (CLH) ,CLH,2710000000, 11/04/2015 , Sep 2015 , $0.74 , 8 , $0.45 ,-39.19%
Codexis Inc. (CDXS) ,CDXS,135250000, 11/04/2015 , Sep 2015 , $-0.12 , 1 , $-0.08 ,-33.33%
Cognizant Technology Solutions Corporation (CTSH) ,CTSH,41710000000, 11/04/2015 , Sep 2015 , $0.69 , 8 , $0.6 ,-13.04%
Coherent Inc. (COHR) ,COHR,1390000000, 11/04/2015 , Sep 2015 , $0.76 , 1 , $0.83 ,9.21%
CombiMatrix Corporation (CBMX) ,CBMX,13950000, 11/04/2015 , Sep 2015 , $-0.15 , 1 , $-0.23 ,53.33%
Compass Diversified Holdings (CODI) ,CODI,880200000, 11/04/2015 , Sep 2015 , $0.32 , 6 , $-0.32 ,-200%
Computer Sciences Corporation (CSC) ,CSC,9320000000, 11/04/2015 , Sep 2015 , $1.15 , 10 , $1.18 ,2.61%
Comstock Resources Inc. (CRK) ,CRK,118360000, 11/04/2015 , Sep 2015 , $-1.23 , 6 , $-0.05 ,-95.93%
Conatus Pharmaceuticals Inc. (CNAT) ,CNAT,77890000, 11/04/2015 , Sep 2015 , $-0.36 , 6 , $-0.42 ,16.67%
Concho Resources Inc. (CXO) ,CXO,13850000000, 11/04/2015 , Sep 2015 , $0.18 , 14 , $1.09 ,505.56%
Continental Building Products Inc. (CBPX) ,CBPX,771650000, 11/04/2015 , Sep 2015 , $0.3 , 3 , $0.22 ,-26.67%
Continental Resources Inc. (CLR) ,CLR,12550000000, 11/04/2015 , Sep 2015 , $-0.12 , 13 , $0.81 ,-775%
Convergys Corporation (CVG) ,CVG,2520000000, 11/04/2015 , Sep 2015 , $0.44 , 4 , $0.42 ,-4.55%
Corrections Corporation of America (CXW) ,CXW,3480000000, 11/04/2015 , Sep 2015 , $0.63 , 2 , $0.66 ,4.76%
CPI Aerostructures Inc. (CVU) ,CVU,74300000, 11/04/2015 , Sep 2015 , $0.24 , 2 , $0.2 ,-16.67%
Craft Brew Alliance Inc. (BREW) ,BREW,141870000, 11/04/2015 , Sep 2015 , $0.07 , 2 , $0.03 ,-57.14%
Criteo S.A. (CRTO) ,CRTO,2500000000, 11/04/2015 , Sep 2015 , $0.14 , 5 , $0.25 ,78.57%
Cross Country Healthcare Inc. (CCRN) ,CCRN,456820000, 11/04/2015 , Sep 2015 , $0.11 , 4 , $0.07 ,-36.36%
CrossAmerica Partners LP (CAPL) ,CAPL,838230000, 11/04/2015 , Sep 2015 , $0.12 , 5 , $0.21 ,75%
CSG Systems International Inc. (CSGS) ,CSGS,1100000000, 11/04/2015 , Sep 2015 , $0.48 , 1 , $0.4 ,-16.67%
CST Brands Inc. (CST) ,CST,2790000000, 11/04/2015 , Sep 2015 , $0.84 , 3 , $0.9 ,7.14%
CVENT INC. (CVT) ,CVT,1320000000, 11/04/2015 , Sep 2015 , $-0.01 , 1 , $0.03 ,-400%
Datawatch Corporation (DWCH) ,DWCH,68980000, 11/04/2015 , Sep 2015 , $-0.38 , 2 , $-0.35 ,-7.89%
DCP Midstream Partners LP (DPM) ,DPM,3320000000, 11/04/2015 , Sep 2015 , $0.59 , 8 , $0.63 ,6.78%
Denison Mine Corp (DNN) ,DNN,203070000, 11/04/2015 , Sep 2015 , $-0.01 , 1 , $-0.01 ,-0%
DexCom Inc. (DXCM) ,DXCM,6950000000, 11/04/2015 , Sep 2015 , $0 , 10 , $-0.08 ,-∞%
Ducommun Incorporated (DCO) ,DCO,248800000, 11/04/2015 , Sep 2015 , $0.41 , 4 , $0.24 ,-41.46%
Dynegy Inc. (DYN) ,DYN,2530000000, 11/04/2015 , Sep 2015 , $0.15 , 1 , $0.04 ,-73.33%
eGain Corporation (EGAN) ,EGAN,122950000, 11/04/2015 , Sep 2015 , $-0.12 , 2 , $-0.06 ,-50%
Egalet Corporation (EGLT) ,EGLT,224530000, 11/04/2015 , Sep 2015 , $-1.04 , 1 , $-0.63 ,-39.42%
El Paso Electric Company (EE) ,EE,1570000000, 11/04/2015 , Sep 2015 , $1.3 , 1 , $1.3 ,0%
Eleven Biotherapeutics Inc. (EBIO) ,EBIO,51940000, 11/04/2015 , Sep 2015 , $-0.44 , 1 , $-0.66 ,50%
Elizabeth Arden Inc. (RDEN) ,RDEN,375330000, 11/04/2015 , Sep 2015 , $-0.17 , 4 , $-0.43 ,152.94%
Emerald Oil Inc. (EOX) ,EOX,15870000, 11/04/2015 , Sep 2015 , $-0.79 , 2 , $0.6 ,-175.95%
Emerge Energy Services LP (EMES) ,EMES,105650000, 11/04/2015 , Sep 2015 , $-0.15 , 6 , $1.08 ,-820%
Enable Midstream Partners LP (ENBL) ,ENBL,4930000000, 11/04/2015 , Sep 2015 , $0.23 , 4 , $0.33 ,43.48%
Energy Focus Inc. (EFOI) ,EFOI,162780000, 11/04/2015 , Sep 2015 , $0.13 , 3 , $-0.05 ,-138.46%
Energy Transfer Equity L.P. (ETE) ,ETE,22900000000, 11/04/2015 , Sep 2015 , $0.28 , 6 , $0.17 ,-39.29%
ENERGY TRANSFER PARTNERS (ETP) ,ETP,23180000000, 11/04/2015 , Sep 2015 , $0.15 , 8 , $0.44 ,193.33%
EnLink Midstream Partners LP (ENLK) ,ENLK,5700000000, 11/04/2015 , Sep 2015 , $0.12 , 8 , $0.18 ,50%
EnLink Midstream LLC (ENLC) ,ENLC,3310000000, 11/04/2015 , Sep 2015 , $0.12 , 4 , $0.17 ,41.67%
Enova International Inc. (ENVA) ,ENVA,434280000, 11/04/2015 , Sep 2015 , $0.29 , 1 , $n/a ,n/a
EPAM Systems Inc. (EPAM) ,EPAM,3890000000, 11/04/2015 , Sep 2015 , $0.46 , 3 , $0.43 ,-6.52%
ePlus inc. (PLUS) ,PLUS,629210000, 11/04/2015 , Sep 2015 , $1.65 , 2 , $1.63 ,-1.21%
Equity Commonwealth (EQC) ,EQC,3830000000, 11/04/2015 , Sep 2015 , $0.38 , 2 , $0.44 ,15.79%
Evertec Inc. (EVTC) ,EVTC,1420000000, 11/04/2015 , Sep 2015 , $0.42 , 7 , $0.4 ,-4.76%
Evolution Petroleum Corporation Inc. (EPM) ,EPM,233930000, 11/04/2015 , Sep 2015 , $0.05 , 2 , $0.03 ,-40%
ExamWorks Group Inc. (EXAM) ,EXAM,1210000000, 11/04/2015 , Sep 2015 , $0.09 , 2 , $0.08 ,-11.11%
Facebook Inc. (FB) ,FB,291080000000, 11/04/2015 , Sep 2015 , $0.35 , 11 , $0.32 ,-8.57%
Famous Dave's of America Inc. (DAVE) ,DAVE,82870000, 11/04/2015 , Sep 2015 , $0.15 , 3 , $0.26 ,73.33%
Federal Realty Investment Trust (FRT) ,FRT,10190000000, 11/04/2015 , Sep 2015 , $1.34 , 11 , $1.23 ,-8.21%
Federated National Holding Company (FNHC) ,FNHC,440950000, 11/04/2015 , Sep 2015 , $0.5 , 4 , $0.56 ,12%
Ferro Corporation (FOE) ,FOE,1120000000, 11/04/2015 , Sep 2015 , $0.22 , 6 , $0.16 ,-27.27%
FireEye Inc. (FEYE) ,FEYE,4390000000, 11/04/2015 , Sep 2015 , $-0.88 , 4 , $-0.75 ,-14.77%
Five Prime Therapeutics Inc. (FPRX) ,FPRX,891060000, 11/04/2015 , Sep 2015 , $-1 , 3 , $-0.33 ,-67%
FleetCor Technologies Inc. (FLT) ,FLT,13350000000, 11/04/2015 , Sep 2015 , $1.51 , 5 , $1.3 ,-13.91%
Flex Pharma Inc. (FLKS) ,FLKS,204680000, 11/04/2015 , Sep 2015 , $-0.44 , 5 , $n/a ,n/a
Forestar Group Inc (FOR) ,FOR,488090000, 11/04/2015 , Sep 2015 , $0 , 2 , $0.12 ,∞%
Fox Factory Holding Corp. (FOXF) ,FOXF,654410000, 11/04/2015 , Sep 2015 , $0.36 , 8 , $0.32 ,-11.11%
Franklin Covey Company (FC) ,FC,293350000, 11/04/2015 , Aug 2015 , $0.56 , 5 , $0.73 ,30.36%
FTD Companies Inc. (FTD) ,FTD,826180000, 11/04/2015 , Sep 2015 , $-0.03 , 1 , $0.24 ,-900%
Garrison Capital Inc. (GARS) ,GARS,233280000, 11/04/2015 , Sep 2015 , $0.37 , 6 , $0.37 ,0%
General Cable Corporation (BGC) ,BGC,766110000, 11/04/2015 , Sep 2015 , $0.13 , 2 , $0.3 ,130.77%
Genpact Limited (G) ,G,5340000000, 11/04/2015 , Sep 2015 , $0.28 , 3 , $0.23 ,-17.86%
Getty Realty Corporation (GTY) ,GTY,567500000, 11/04/2015 , Sep 2015 , $0.33 , 1 , $0.34 ,3.03%
Global Ship Lease Inc. (GSL) ,GSL,228580000, 11/04/2015 , Sep 2015 , $0.02 , 1 , $-0.06 ,-400%
GoDaddy Inc. (GDDY) ,GDDY,4290000000, 11/04/2015 , Sep 2015 , $-0.09 , 8 , $n/a ,n/a
Goodrich Petroleum Corporation (GDP) ,GDP,36790000, 11/04/2015 , Sep 2015 , $-0.21 , 7 , $-0.49 ,133.33%
Gramercy Property Trust Inc. (GPT) ,GPT,1330000000, 11/04/2015 , Sep 2015 , $0.51 , 2 , $0.32 ,-37.25%
Granite Real Estate Inc. (GRP.U) ,GRP.U,1370000000, 11/04/2015 , Sep 2015 , $0.63 , 2 , $0.72 ,14.29%
Great Panther Silver Limited (GPL) ,GPL,77870000, 11/04/2015 , Sep 2015 , $n/a , 0 , $-0.01 ,n/a
GSI Group Inc. (GSIG) ,GSIG,461790000, 11/04/2015 , Sep 2015 , $0.19 , 1 , $0.23 ,21.05%
Guidance Software Inc. (GUID) ,GUID,173850000, 11/04/2015 , Sep 2015 , $-0.11 , 2 , $-0.08 ,-27.27%
Gulfport Energy Corporation (GPOR) ,GPOR,3280000000, 11/04/2015 , Sep 2015 , $-0.15 , 15 , $0.13 ,-186.67%
Haemonetics Corporation (HAE) ,HAE,1750000000, 11/04/2015 , Sep 2015 , $0.4 , 5 , $0.47 ,17.5%
Hannon Armstrong Sustainable Infrastructure Capital Inc. (HASI) ,HASI,589530000, 11/04/2015 , Sep 2015 , $0.2 , 2 , $0.16 ,-20%
Healthcare Realty Trust Incorporated (HR) ,HR,2670000000, 11/04/2015 , Sep 2015 , $0.4 , 4 , $0.37 ,-7.5%
Henry Schein Inc. (HSIC) ,HSIC,12840000000, 11/04/2015 , Sep 2015 , $1.46 , 10 , $1.34 ,-8.22%
Heritage Insurance Holdings Inc. (HRTG) ,HRTG,683230000, 11/04/2015 , Sep 2015 , $0.46 , 2 , $0.33 ,-28.26%
Holly Energy Partners L.P. (HEP) ,HEP,2069999000, 11/04/2015 , Sep 2015 , $0.4 , 4 , $0.35 ,-12.5%
Hologic Inc. (HOLX) ,HOLX,11160000000, 11/04/2015 , Sep 2015 , $0.42 , 11 , $0.43 ,2.38%
HomeAway Inc. (AWAY) ,AWAY,3110000000, 11/04/2015 , Sep 2015 , $0.12 , 9 , $0.11 ,-8.33%
Hortonworks Inc. (HDP) ,HDP,870390000, 11/04/2015 , Sep 2015 , $-0.96 , 2 , $n/a ,n/a
HSN Inc. (HSNI) ,HSNI,3260000000, 11/04/2015 , Sep 2015 , $0.76 , 6 , $0.74 ,-2.63%
HubSpot Inc. (HUBS) ,HUBS,1770000000, 11/04/2015 , Sep 2015 , $-0.45 , 2 , $-1.84 ,308.89%
Hudson Technologies Inc. (HDSN) ,HDSN,110260000, 11/04/2015 , Sep 2015 , $0.05 , 3 , $0 ,-100%
I.D. Systems Inc. (IDSY) ,IDSY,48270000, 11/04/2015 , Sep 2015 , $-0.16 , 2 , $-0.2 ,25%
Immunomedics Inc. (IMMU) ,IMMU,286720000, 11/04/2015 , Sep 2015 , $-0.14 , 2 , $-0.13 ,-7.14%
ING Group N.V. (ING) ,ING,57000000000, 11/04/2015 , Sep 2015 , $n/a , 0 , $0.36 ,n/a
Inovalon Holdings Inc. (INOV) ,INOV,3450000000, 11/04/2015 , Sep 2015 , $0.09 , 6 , $n/a ,n/a
Intersect ENT Inc. (XENT) ,XENT,579390000, 11/04/2015 , Sep 2015 , $-0.29 , 6 , $-0.32 ,10.34%
InterXion Holding N.V. (INXN) ,INXN,2069999000, 11/04/2015 , Sep 2015 , $0.14 , 7 , $0.14 ,0%
IntraLinks Holdings Inc. (IL) ,IL,520409000, 11/04/2015 , Sep 2015 , $-0.01 , 2 , $-0.01 ,-0%
INVESCO MORTGAGE CAPITAL INC (IVR) ,IVR,1510000000, 11/04/2015 , Sep 2015 , $0.41 , 7 , $0.44 ,7.32%
Jack Henry & Associates Inc. (JKHY) ,JKHY,6220000000, 11/04/2015 , Sep 2015 , $0.62 , 5 , $0.64 ,3.23%
James River Group Holdings Ltd. (JRVR) ,JRVR,814580000, 11/04/2015 , Sep 2015 , $0.61 , 3 , $n/a ,n/a
Jones Energy Inc. (JONE) ,JONE,312670000, 11/04/2015 , Sep 2015 , $-0.01 , 7 , $0.23 ,-2400%
Kadant Inc (KAI) ,KAI,455770000, 11/04/2015 , Sep 2015 , $0.71 , 2 , $0.63 ,-11.27%
KAR Auction Services Inc (KAR) ,KAR,5510000000, 11/04/2015 , Sep 2015 , $0.44 , 5 , $0.38 ,-13.64%
KCAP Financial Inc. (KCAP) ,KCAP,186380000, 11/04/2015 , Sep 2015 , $0.16 , 3 , $0.23 ,43.75%
Kelly Services Inc. (KELYA) ,KELYA,620440000, 11/04/2015 , Sep 2015 , $0.23 , 2 , $0.1 ,-56.52%
Kennedy-Wilson Holdings Inc. (KW) ,KW,2790000000, 11/04/2015 , Sep 2015 , $-0.07 , 2 , $-0.21 ,200%
Kimco Realty Corporation (KIM) ,KIM,11280000000, 11/04/2015 , Sep 2015 , $0.37 , 12 , $0.36 ,-2.7%
Kindred Healthcare Inc. (KND) ,KND,1150000000, 11/04/2015 , Sep 2015 , $0.26 , 6 , $0.11 ,-57.69%
King Digital Entertainment plc (KING) ,KING,4890000000, 11/04/2015 , Sep 2015 , $0.29 , 3 , $0.48 ,65.52%
Ladder Capital Corp (LADR) ,LADR,1440000000, 11/04/2015 , Sep 2015 , $0.5 , 2 , $0.21 ,-58%
Lannett Co Inc (LCI) ,LCI,1730000000, 11/04/2015 , Sep 2015 , $0.89 , 4 , $0.94 ,5.62%
Lantheus Holdings Inc. (LNTH) ,LNTH,102150000, 11/04/2015 , Sep 2015 , $0.04 , 3 , $n/a ,n/a
LDR Holding Corporation (LDRH) ,LDRH,708500000, 11/04/2015 , Sep 2015 , $-0.2 , 4 , $-0.08 ,-60%
Legacy Reserves LP (LGCY) ,LGCY,290340000, 11/04/2015 , Sep 2015 , $-0.22 , 5 , $0.13 ,-159.09%
LGI Homes Inc. (LGIH) ,LGIH,587900000, 11/04/2015 , Sep 2015 , $0.6 , 2 , $0.34 ,-43.33%
LHC Group (LHCG) ,LHCG,820210000, 11/04/2015 , Sep 2015 , $0.42 , 5 , $0.36 ,-14.29%
Liberty Interactive Corporation (LVNTA) ,LVNTA,26170000000, 11/04/2015 , Sep 2015 , $0.36 , 1 , $n/a ,n/a
Liberty Interactive Corporation (QVCA) ,QVCA,16550000000, 11/04/2015 , Sep 2015 , $0.25 , 5 , $0.17 ,-32%
Liberty Media Corporation (LMCA) ,LMCA,13790000000, 11/04/2015 , Sep 2015 , $0.24 , 3 , $0.1 ,-58.33%
Liberty Media Corporation (LMCK) ,LMCK,13170000000, 11/04/2015 , Sep 2015 , $0.28 , 1 , $0.1 ,-64.29%
Lifevantage Corporation (LFVN) ,LFVN,2160000, 11/04/2015 , Sep 2015 , $n/a , 0 , $0.35 ,n/a
Lincoln Educational Services Corporation (LINC) ,LINC,23480000, 11/04/2015 , Sep 2015 , $-0.14 , 1 , $-0.12 ,-14.29%
LivePerson Inc. (LPSN) ,LPSN,448730000, 11/04/2015 , Sep 2015 , $-0.03 , 2 , $0 ,-100%
Lombard Medical Inc. (EVAR) ,EVAR,53410000, 11/04/2015 , Sep 2015 , $-0.53 , 3 , $-0.52 ,-1.89%
Lumber Liquidators Holdings Inc (LL) ,LL,379730000, 11/04/2015 , Sep 2015 , $-0.21 , 10 , $0.58 ,-376.19%
MacroGenics Inc. (MGNX) ,MGNX,1140000000, 11/04/2015 , Sep 2015 , $-0.21 , 5 , $-0.14 ,-33.33%
Maiden Holdings Ltd. (MHLD) ,MHLD,1150000000, 11/04/2015 , Sep 2015 , $0.28 , 1 , $0.38 ,35.71%
Manitex International Inc. (MNTX) ,MNTX,109700000, 11/04/2015 , Sep 2015 , $0.04 , 2 , $0.13 ,225%
Marathon Oil Corporation (MRO) ,MRO,12870000000, 11/04/2015 , Sep 2015 , $-0.42 , 10 , $0.57 ,-235.71%
Marchex Inc. (MCHX) ,MCHX,187460000, 11/04/2015 , Sep 2015 , $0 , 1 , $-0.01 ,-∞%
Marin Software Incorporated (MRIN) ,MRIN,137680000, 11/04/2015 , Sep 2015 , $-0.29 , 2 , $-0.27 ,-6.9%
Markel Corporation (MKL) ,MKL,12200000000, 11/04/2015 , Sep 2015 , $6.78 , 2 , $5.3 ,-21.83%
MarkWest Energy Partners LP (MWE) ,MWE,8880000000, 11/04/2015 , Sep 2015 , $0.18 , 10 , $0.41 ,127.78%
Masonite International Corporation (DOOR) ,DOOR,1820000000, 11/04/2015 , Sep 2015 , $0.45 , 5 , $0.05 ,-88.89%
Matador Resources Company (MTDR) ,MTDR,2220000000, 11/04/2015 , Sep 2015 , $-0.03 , 7 , $0.26 ,-966.67%
Matrix Service Company (MTRX) ,MTRX,614430000, 11/04/2015 , Sep 2015 , $0.32 , 5 , $0.33 ,3.13%
Matson Inc. (MATX) ,MATX,2029999000, 11/04/2015 , Sep 2015 , $0.76 , 5 , $0.5 ,-34.21%
Mattersight Corporation (MATR) ,MATR,194870000, 11/04/2015 , Sep 2015 , $-0.14 , 2 , $-0.14 ,-0%
Memorial Production Partners LP (MEMP) ,MEMP,481070000, 11/04/2015 , Sep 2015 , $0.12 , 4 , $0.01 ,-91.67%
Memorial Resource Development Corp. (MRD) ,MRD,3410000000, 11/04/2015 , Sep 2015 , $0.12 , 8 , $0.09 ,-25%
MercadoLibre Inc. (MELI) ,MELI,4500000000, 11/04/2015 , Sep 2015 , $0.6 , 3 , $0.76 ,26.67%
MetLife Inc. (MET) ,MET,57040000000, 11/04/2015 , Sep 2015 , $1.47 , 7 , $1.6 ,8.84%
MFA Financial Inc. (MFA) ,MFA,2600000000, 11/04/2015 , Sep 2015 , $0.19 , 6 , $0.2 ,5.26%
Michael Kors Holdings Limited (KORS) ,KORS,7540000000, 11/04/2015 , Sep 2015 , $0.89 , 15 , $1 ,12.36%
Microchip Technology Incorporated (MCHP) ,MCHP,10320000000, 11/04/2015 , Sep 2015 , $0.57 , 3 , $0.62 ,8.77%
MINDBODY Inc. (MB) ,MB,609640000, 11/04/2015 , Sep 2015 , $-0.27 , 1 , $n/a ,n/a
Momenta Pharmaceuticals Inc. (MNTA) ,MNTA,1160000000, 11/04/2015 , Sep 2015 , $-0.19 , 4 , $-0.56 ,194.74%
Monogram Residential Trust Inc. (MORE) ,MORE,1660000000, 11/04/2015 , Sep 2015 , $0.1 , 1 , $n/a ,n/a
MoSys Inc. (MOSY) ,MOSY,92620000, 11/04/2015 , Sep 2015 , $-0.13 , 1 , $-0.16 ,23.08%
