CEB Inc. (CEB) ,CEB,2510000000, 10/28/2014 , Sep 2014 , $0.82 , 3 , $0.98 ,19.51%
Centene Corporation (CNC) ,CNC,7090000000, 10/28/2014 , Sep 2014 , $0.95 , 16 , $1.22 ,28.42%
Chemtura Corp. (CHMT) ,CHMT,2150000000, 10/28/2014 , Sep 2014 , $0.29 , 4 , $0.2 ,-31.03%
China Life Insurance Company Limited (LFC) ,LFC,102090000000, 10/28/2014 , Sep 2014 , $n/a , 0 , $0.78 ,n/a
Ciber Inc. (CBR) ,CBR,282440000, 10/28/2014 , Sep 2014 , $0.02 , 1 , $-0.02 ,-200%
Cincinnati Financial Corporation (CINF) ,CINF,9870000000, 10/28/2014 , Sep 2014 , $0.6 , 2 , $0.85 ,41.67%
CIT Group Inc (DEL) (CIT) ,CIT,7350000000, 10/28/2014 , Sep 2014 , $0.88 , 10 , $0.89 ,1.14%
Clear Channel Outdoor Holdings Inc. (CCO) ,CCO,2700000000, 10/28/2014 , Sep 2014 , $-0.01 , 3 , $-0.02 ,100%
Cleco Corporation (CNL) ,CNL,3210000000, 10/28/2014 , Sep 2014 , $1.23 , 2 , $1.17 ,-4.88%
CNO Financial Group Inc. (CNO) ,CNO,3690000000, 10/28/2014 , Sep 2014 , $0.32 , 4 , $0.46 ,43.75%
Coach Inc. (COH) ,COH,8630000000, 10/28/2014 , Sep 2014 , $0.45 , 14 , $0.53 ,17.78%
CommerceWest Bank NA (California) (CWBK) ,CWBK,, 10/28/2014 , Sep 2014 , $n/a , 0 , $0.32 ,n/a
CommVault Systems Inc. (CVLT) ,CVLT,1840000000, 10/28/2014 , Sep 2014 , $0.28 , 1 , $0.14 ,-50%
comScore Inc. (SCOR) ,SCOR,1680000000, 10/28/2014 , Sep 2014 , $0.01 , 2 , $0.15 ,1400%
Concurrent Computer Corporation (CCUR) ,CCUR,47170000, 10/28/2014 , Sep 2014 , $n/a , 0 , $0.04 ,n/a
CONSOL Energy Inc. (CNX) ,CNX,1530000000, 10/28/2014 , Sep 2014 , $0.2 , 10 , $0.09 ,-55%
